Rank,French,Spanish,Word_IPA_ES,Word_IPA_LATAM,Phrase_ES,Phrase_FR,Phrase_IPA_ES,Phrase_ES_LATAM,Phrase_FR_LATAM,Phrase_IPA_LATAM,Notes,Exercise_Suggestions
182,internet,internet,/inteɾnet/,/inteɾnet/,Internet es rápido hoy.,Internet est rapide aujourd'hui.,/inteɾnet es rapido oy./,Internet es rápido hoy.,Internet est rapide aujourd'hui.,/inteɾnet es rapido oy./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
183,radio,radio,/radio/,/radio/,La radio emite buena música.,La radio passe de la buena música.,/la radio emite buena musika./,La radio emite buena música.,La radio passe de la buena música.,/la radio emite buena musika./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
184,télévision,televisión,/telebision/,/telebision/,La televisión transmite las noticias.,La televisión diffuse les actualités.,/la telebision tɾansmite las notiθias./,La televisión transmite las noticias.,La televisión diffuse les actualités.,/la telebision tɾansmite las notisias./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
185,apprendre,aprender,/apɾendeɾ/,/apɾendeɾ/,Me gusta aprender francés.,J'aime apprendre le français.,/me gusta apɾendeɾ franθes./,Me gusta aprender francés.,J'aime apprendre le français.,/me gusta apɾendeɾ franses./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
186,enseigner,enseñar,/enseɲaɾ/,/enseɲaɾ/,Ella enseña historia.,Elle enseigne l'histoire.,/eʝa enseɲa istoria./,Ella enseña historia.,Elle enseigne l'histoire.,/eʝa enseɲa istoria./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
187,lire,leer,/leeɾ/,/leeɾ/,Leo cada noche.,Je lis chaque soir.,/leo kada notʃe./,Leo cada noche.,Je lis chaque soir.,/leo kada notʃe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
188,écrire,escribir,/eskɾibiɾ/,/eskɾibiɾ/,Le gusta escribir poemas.,Il aime écrire des poèmes.,/le gusta eskɾibiɾ poemas./,Le gusta escribir poemas.,Il aime écrire des poèmes.,/le gusta eskɾibiɾ poemas./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
189,parler,hablar,/ablaɾ/,/ablaɾ/,Hablamos juntos.,Nous parlons ensemble.,/ablamos ksuntos./,Hablamos juntos.,Nous parlons ensemble.,/ablamos ksuntos./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
190,écouter,escuchar,/eskutʃar/,/eskutʃar/,Escucha la música.,Écoute la musique.,/eskutʃa la musika./,Escucha la música.,Écoute la musique.,/eskutʃa la musika./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
191,regarder,mirar,/miɾaɾ/,/miɾaɾ/,Mira esta película.,Regarde ce film.,/miɾa esta pelikula./,Mira esta película.,Regarde ce film.,/miɾa esta pelikula./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
192,marcher,caminar,/kaminaɾ/,/kaminaɾ/,Caminan en el parque.,Ils marchent dans le parc.,/kaminan en el parke./,Caminan en el parque.,Ils marchent dans le parc.,/kaminan en el parke./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
193,courir,correr,/koɾeɾ/,/koɾeɾ/,Le gusta correr por la mañana.,Il aime courir le matin.,/le gusta koɾeɾ poɾ la maɲana./,Le gusta correr por la mañana.,Il aime courir le matin.,/le gusta koɾeɾ poɾ la maɲana./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
194,voyager,viajar,/biaksaɾ/,/biaksaɾ/,Ella quiere viajar a España.,Elle veut voyager en Espagne.,/eʝa kieɾe biaksaɾ a espaɲa./,Ella quiere viajar a España.,Elle veut voyager en Espagne.,/eʝa kieɾe biaksaɾ a espaɲa./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
195,acheter,comprar,/kompɾaɾ/,/kompɾaɾ/,Voy a comprar un regalo.,Je vais acheter un cadeau.,/boy a kompɾaɾ un regalo./,Voy a comprar un regalo.,Je vais acheter un cadeau.,/boy a kompɾaɾ un regalo./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
196,vendre,vender,/bendeɾ/,/bendeɾ/,Él vende verduras en el mercado.,Il vend des légumes au marché.,/el bende beɾduɾas en el merkado./,Él vende verduras en el mercado.,Il vend des légumes au marché.,/el bende beɾduɾas en el merkado./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
197,manger,comer,/komeɾ/,/komeɾ/,Nos gusta comer juntos.,Nous aimons manger ensemble.,/nos gusta komeɾ ksuntos./,Nos gusta comer juntos.,Nous aimons manger ensemble.,/nos gusta komeɾ ksuntos./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
198,boire,beber,/bebeɾ/,/bebeɾ/,Prefiero beber agua.,Je préfère boire de l'eau.,/pɾefieɾo bebeɾ agua./,Prefiero beber agua.,Je préfère boire de l'eau.,/pɾefieɾo bebeɾ agua./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
199,dormir,dormir,/doɾmiɾ/,/doɾmiɾ/,El bebé duerme tranquilamente.,Le bébé dort paisiblement.,/el bebe dueɾme trankilamente./,El bebé duerme tranquilamente.,Le bébé dort paisiblement.,/el bebe dueɾme trankilamente./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
200,rêver,soñar,/soɲaɾ/,/soɲaɾ/,Sueña con un futuro brillante.,Il rêve d'un avenir radieux.,/sueɲa kon un futuɾo briʝante./,Sueña con un futuro brillante.,Il rêve d'un avenir radieux.,/sueɲa kon un futuɾo briʝante./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
201,soir,tarde,/taɾde/,/taɾde/,"Le soir, la ville s'illumine.","Por la tarde, la ciudad se ilumina.","/le soir, la biʝe s'iʝumine./","Le soir, la ville s'illumine.","Por la tarde, la ciudad se ilumina.","/le soir, la biʝe s'iʝumine./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
202,matin,mañana,/maɲana/,/maɲana/,"Le matin, le soleil se lève.","Por la mañana, el sol se levanta.","/le matin, le soleil se lèbe./","Le matin, le soleil se lève.","Por la mañana, el sol se levanta.","/le matin, le soleil se lèbe./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
203,beau,bonito,/bonito/,/bonito/,Ce paysage est beau.,Este paisaje es bonito.,/θe paysakse est beau./,Ce paysage est beau.,Este paisaje es bonito.,/se paysakse est beau./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
204,grand,grande,/gɾande/,/gɾande/,Le bâtiment est grand.,El edificio es grande.,/le bâtiment est grand./,Le bâtiment est grand.,El edificio es grande.,/le bâtiment est grand./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
205,petit,pequeño,/pekeɲo/,/pekeɲo/,Le chat est petit.,El gato es pequeño.,/le tʃat est petit./,Le chat est petit.,El gato es pequeño.,/le tʃat est petit./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
206,jeune,joven,/ksoben/,/ksoben/,Le garçon est jeune.,El niño es joven.,/le garçon est kseune./,Le garçon est jeune.,El niño es joven.,/le garçon est kseune./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
207,vieux,viejo,/biekso/,/biekso/,La tradition est vieille.,La tradición es vieja.,/la tɾadition est bieiʝe./,La tradition est vieille.,La tradición es vieja.,/la tɾadition est bieiʝe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
208,nouveau,nuevo,/nuebo/,/nuebo/,C'est un nouveau départ.,Es un nuevo comienzo.,/k'est un noubeau depart./,C'est un nouveau départ.,Es un nuevo comienzo.,/k'est un noubeau depart./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
209,bon,bueno,/bueno/,/bueno/,C'est un bon repas.,Es una buena comida.,/k'est un bon repas./,C'est un bon repas.,Es una buena comida.,/k'est un bon repas./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
210,mauvais,malo,/malo/,/malo/,Il a fait une mauvaise erreur.,Cometió un error malo.,/il a fait une maubaise ereur./,Il a fait une mauvaise erreur.,Cometió un error malo.,/il a fait une maubaise ereur./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
211,long,largo,/laɾgo/,/laɾgo/,C'est une longue journée.,Es un día largo.,/k'est une lonkse ksournee./,C'est une longue journée.,Es un día largo.,/k'est une lonkse ksournee./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
212,court,corto,/koɾto/,/koɾto/,Le film était court.,La película fue corta.,/le film etait kourt./,Le film était court.,La película fue corta.,/le film etait kourt./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
213,rapide,rápido,/rapido/,/rapido/,Ce service est rapide.,Este servicio es rápido.,/θe seɾbiθe est rapide./,Ce service est rapide.,Este servicio es rápido.,/se seɾbise est rapide./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
214,lent,lento,/lento/,/lento/,Le train est lent.,El tren es lento.,/le tɾain est lent./,Le train est lent.,El tren es lento.,/le tɾain est lent./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
215,facile,fácil,/faθil/,/fasil/,Cet exercice est facile.,Este ejercicio es fácil.,/θet ekseɾθiθe est faθile./,Cet exercice est facile.,Este ejercicio es fácil.,/set ekseɾsise est fasile./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
216,difficile,difícil,/difiθil/,/difisil/,Le problème est difficile.,El problema es difícil.,/le problème est diffiθile./,Le problème est difficile.,El problema es difícil.,/le problème est diffisile./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
217,fort,fuerte,/fueɾte/,/fueɾte/,Il a une forte présence.,Tiene una fuerte presencia.,/il a une foɾte presenθe./,Il a une forte présence.,Tiene una fuerte presencia.,/il a une foɾte presense./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
218,faible,débil,/debil/,/debil/,Sa voix est faible.,Su voz es débil.,/sa boiks est faible./,Sa voix est faible.,Su voz es débil.,/sa boiks est faible./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
219,propre,limpio,/limpio/,/limpio/,La cuisine est propre.,La cocina está limpia.,/la kuisine est propre./,La cuisine est propre.,La cocina está limpia.,/la kuisine est propre./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
220,sale,sucio,/suθio/,/susio/,Les vêtements sont sales.,La ropa está sucia.,/les bêtements sont sales./,Les vêtements sont sales.,La ropa está sucia.,/les bêtements sont sales./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
221,cher,caro,/kaɾo/,/kaɾo/,Ce produit est cher.,Este producto es caro.,/θe pɾoduit est tʃer./,Ce produit est cher.,Este producto es caro.,/se pɾoduit est tʃer./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
222,bon marché,barato,/baɾato/,/baɾato/,Ils vendent des articles bon marché.,Venden artículos baratos.,/ils bendent des aɾtikles bon martʃe./,Ils vendent des articles bon marché.,Venden artículos baratos.,/ils bendent des aɾtikles bon martʃe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
223,riche,rico,/riko/,/riko/,Il est riche en expériences.,Él es rico en experiencias.,/il est ritʃe en eksperienθes./,Il est riche en expériences.,Él es rico en experiencias.,/il est ritʃe en eksperienses./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
224,pauvre,pobre,/pobɾe/,/pobɾe/,La famille est pauvre.,La familia es pobre.,/la famiʝe est paubre./,La famille est pauvre.,La familia es pobre.,/la famiʝe est paubre./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
225,occupé,ocupado,/okupado/,/okupado/,Il est très occupé aujourd'hui.,Está muy ocupado hoy.,/il est très okkupe auksourd'ui./,Il est très occupé aujourd'hui.,Está muy ocupado hoy.,/il est très okkupe auksourd'ui./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
226,libre,libre,/libɾe/,/libɾe/,Je suis libre ce soir.,Estoy libre esta noche.,/kse suis libɾe θe soir./,Je suis libre ce soir.,Estoy libre esta noche.,/kse suis libɾe se soir./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
227,content,contento,/kontento/,/kontento/,Elle est contente de sa réussite.,Ella está contenta de su éxito.,/eʝe est kontente de sa reussite./,Elle est contente de sa réussite.,Ella está contenta de su éxito.,/eʝe est kontente de sa reussite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
228,triste,triste,/tɾiste/,/tɾiste/,Il se sent triste.,Se siente triste.,/il se sent triste./,Il se sent triste.,Se siente triste.,/il se sent triste./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
229,heureux,feliz,/feliθ/,/felis/,Elle est heureuse aujourd'hui.,Ella está feliz hoy.,/eʝe est euɾeuse auksourd'ui./,Elle est heureuse aujourd'hui.,Ella está feliz hoy.,/eʝe est euɾeuse auksourd'ui./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
230,fâché,enojado,/enoksado/,/enoksado/,Il est fâché contre son frère.,Está enojado con su hermano.,/il est fâtʃe kontɾe son frère./,Il est fâché contre son frère.,Está enojado con su hermano.,/il est fâtʃe kontɾe son frère./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
231,surpris,sorprendido,/soɾpɾendido/,/soɾpɾendido/,Elle était surprise par la nouvelle.,Ella estaba sorprendida por la noticia.,/eʝe etait suɾpɾise paɾ la noubeʝe./,Elle était surprise par la nouvelle.,Ella estaba sorprendida por la noticia.,/eʝe etait suɾpɾise paɾ la noubeʝe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
232,calme,tranquilo,/tɾankilo/,/tɾankilo/,Le lac est calme.,El lago está tranquilo.,/le lak est kalme./,Le lac est calme.,El lago está tranquilo.,/le lak est kalme./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
233,bruyant,ruidoso,/ruidoso/,/ruidoso/,Le marché est bruyant.,El mercado está ruidoso.,/le martʃe est bruʝant./,Le marché est bruyant.,El mercado está ruidoso.,/le martʃe est bruʝant./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
234,solitaire,solitario,/solitaɾio/,/solitaɾio/,Il aime les endroits solitaires.,Le gusta los lugares solitarios.,/il aime les endɾoits solitaires./,Il aime les endroits solitaires.,Le gusta los lugares solitarios.,/il aime les endɾoits solitaires./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
235,animé,animado,/animado/,/animado/,Le quartier est animé la nuit.,El barrio es animado por la noche.,/le kaɾtieɾ est anime la nuit./,Le quartier est animé la nuit.,El barrio es animado por la noche.,/le kaɾtieɾ est anime la nuit./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
236,vite,rápidamente,/rapidamente/,/rapidamente/,Il court vite.,Él corre rápidamente.,/il kouɾt bite./,Il court vite.,Él corre rápidamente.,/il kouɾt bite./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
237,doucement,suavemente,/suabemente/,/suabemente/,"Parle doucement, s'il te plaît.","Habla suavemente, por favor.","/paɾle douθement, s'il te plaît./","Parle doucement, s'il te plaît.","Habla suavemente, por favor.","/paɾle dousement, s'il te plaît./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
238,bien sûr,por supuesto,/poɾ supuesto/,/poɾ supuesto/,"Bien sûr, je viendrai.","Por supuesto, vendré.","/bien sûr, kse biendrai./","Bien sûr, je viendrai.","Por supuesto, vendré.","/bien sûr, kse biendrai./",,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
239,probablement,probablemente,/pɾobablemente/,/pɾobablemente/,Il viendra probablement demain.,Probablemente vendrá mañana.,/il biendɾa pɾobablement demain./,Il viendra probablement demain.,Probablemente vendrá mañana.,/il biendɾa pɾobablement demain./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
240,vraiment,realmente,/realmente/,/realmente/,Je suis vraiment surpris.,Estoy realmente sorprendido.,/kse suis bɾaiment surpris./,Je suis vraiment surpris.,Estoy realmente sorprendido.,/kse suis bɾaiment surpris./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
241,ensemble,juntos,/ksuntos/,/ksuntos/,Ils travaillent ensemble.,Trabajan juntos.,/ils tɾabaiʝent ensemble./,Ils travaillent ensemble.,Trabajan juntos.,/ils tɾabaiʝent ensemble./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
242,seul,solo,/solo/,/solo/,Il préfère être seul.,Prefiere estar solo.,/il prefère être seul./,Il préfère être seul.,Prefiere estar solo.,/il prefère être seul./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
243,quelquefois,a veces,/a beθes/,/a beses/,Je visite quelquefois mes amis.,A veces visito a mis amigos.,/kse bisite kelkefois mes amis./,Je visite quelquefois mes amis.,A veces visito a mis amigos.,/kse bisite kelkefois mes amis./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
244,souvent,a menudo,/a menudo/,/a menudo/,Elle va souvent au marché.,Ella va a menudo al mercado.,/eʝe ba soubent au martʃe./,Elle va souvent au marché.,Ella va a menudo al mercado.,/eʝe ba soubent au martʃe./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
245,rarement,raramente,/raɾamente/,/raɾamente/,Il se déplace rarement en métro.,Raramente viaja en metro.,/il se deplaθe raɾement en metro./,Il se déplace rarement en métro.,Raramente viaja en metro.,/il se deplase raɾement en metro./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
246,autrement,de otra manera,/de otɾa maneɾa/,/de otɾa maneɾa/,Fais-le autrement.,Hazlo de otra manera.,/fais-le autrement./,Fais-le autrement.,Hazlo de otra manera.,/fais-le autrement./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
247,demain,mañana,/maɲana/,/maɲana/,Nous partirons demain.,Saldremos mañana.,/nous paɾtiɾons demain./,Nous partirons demain.,Saldremos mañana.,/nous paɾtiɾons demain./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
248,hier,ayer,/aʝeɾ/,/aʝeɾ/,J'ai vu un film hier.,Vi una película ayer.,/j'ai bu un film ier./,J'ai vu un film hier.,Vi una película ayer.,/j'ai bu un film ier./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
249,bientôt,pronto,/pɾonto/,/pɾonto/,Il arrivera bientôt.,Llegará pronto.,/il aɾibeɾa bientôt./,Il arrivera bientôt.,Llegará pronto.,/il aɾibeɾa bientôt./,,"['Réciter la phrase (audio on/off)', 'Phrase à trous (mot cible masqué)', 'Traduction FR→ES (phrase)', 'Traduction ES→FR (phrase)', 'Variantes (genre/nombre/conjugaison si applicable)']"
